	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
t__SGB3978	50	14	0.0584244983936797	0.00504270087121078	4.63608250432535	2.49538155160248	9.16703857143734	4.83431625688116e-08	3.93408817553221e-06	-1.98128859220845	0.724062374128775	0.00621247764823418	0.0838823775732427
t__SGB5789	8	3	0.0811946415336574	0.00357120022573	3.28638019735157	0.784852312222899	19.3074100715105	0.07383561604432	0.335829365422126	-1.98015069895829	1.57992494990282	0.210089465930525	0.591654493762811
t__SGB14238	9	6	0.0924225252971815	0.0268083925056621	1.84518912285786	0.583127505758	6.33400054382012	0.299649790248708	0.709312514495958	-1.97604216208936	1.01477698304036	0.0515026819950157	0.334212447170242
t__SGB15100	5	11	0.0113196927109974	0.163274983913479	0.552795090415034	0.149813957392015	1.73631142559125	0.319190159162061	0.735334023899744	1.97593659432165	1.3235094023007	0.135449636237772	0.52667403044775
t__SGB19322_group	2	5	1.4999992900004e-05	0.00030540011866001	0.487914797173597	0.0463223621714367	2.99168099593106	0.468445363369847	0.831166169184802	1.9742942071583	1.64854159735185	0.231072589425414	0.591654493762811
t__SGB6497	4	3	0.0153231007187206	0.00289299842397092	1.63397161019841	0.275393388903459	11.196338722979	0.707447279096048	0.973103589473824	-1.96896513445809	1.53715627200227	0.200223841570284	0.591654493762811
t__SGB4252	3	3	0.110321922392391	0.0050178986283306	1.22388765344066	0.163382809204681	9.17026942216817	1	1	-1.95605783814205	1.59039908056191	0.218728429550999	0.591654493762811
t__SGB6477	8	2	0.0192198975527938	0.0030319003267304	4.93530135625592	0.980171358029715	47.8513319922049	0.0498861888950775	0.264305474954265	-1.95240944611724	1.46354854147753	0.18219586429152	0.591654493762811
t__SGB65115	4	7	0.000178800033650062	0.00253819944645012	0.697240126728174	0.14902155779644	2.75645073929858	0.763145813656461	1	1.94683824999628	1.30838135567444	0.136757587105558	0.529106144033534
t__SGB29304	17	5	0.00430970274036235	0.000330000041750034	4.23705473839633	1.49023593580212	14.7682486117162	0.00385865463329389	0.0428652935706781	-1.9364858040668	1.22321755256288	0.113396792610466	0.49990884707191
